
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      238   0.447672340426        0.688222151231E-002   0.768440856964E-001
      239   0.459453191489        0.688222151231E-002   0.768440856964E-001
      240   0.471234042553        0.688222151231E-002   0.768440856964E-001

   NODE        X                   Y                   Z
      241   0.483014893617        0.688222151231E-002   0.768440856964E-001
      242   0.494795744681        0.688222151231E-002   0.768440856964E-001
      243   0.506576595745        0.688222151231E-002   0.768440856964E-001
      244   0.518357446809        0.688222151231E-002   0.768440856964E-001
      245   0.530138297872        0.688222151231E-002   0.768440856964E-001
      246   0.541919148936        0.688222151231E-002   0.768440856964E-001
      247   0.589042553191E-002   0.617043100153E-002   0.785625000008E-001
      248   0.117808510638E-001   0.617043100153E-002   0.785625000008E-001
      249   0.176712765957E-001   0.617043100153E-002   0.785625000008E-001
      250   0.235617021277E-001   0.617043100153E-002   0.785625000008E-001
      251   0.294521276596E-001   0.617043100153E-002   0.785625000008E-001
      252   0.353425531915E-001   0.617043100153E-002   0.785625000008E-001
      253   0.412329787234E-001   0.617043100153E-002   0.785625000008E-001
      254   0.471234042553E-001   0.617043100153E-002   0.785625000008E-001
      255   0.530138297872E-001   0.617043100153E-002   0.785625000008E-001
      256   0.589042553191E-001   0.617043100153E-002   0.785625000008E-001
      257   0.647946808511E-001   0.617043100153E-002   0.785625000008E-001
      258   0.706851063830E-001   0.617043100153E-002   0.785625000008E-001
      259   0.765755319149E-001   0.617043100153E-002   0.785625000008E-001
      260   0.824659574468E-001   0.617043100153E-002   0.785625000008E-001

   NODE        X                   Y                   Z
      261   0.883563829787E-001   0.617043100153E-002   0.785625000008E-001
      262   0.942468085106E-001   0.617043100153E-002   0.785625000008E-001
      263   0.100137234042        0.617043100153E-002   0.785625000008E-001
      264   0.106027659574        0.617043100153E-002   0.785625000008E-001
      265   0.111918085106        0.617043100153E-002   0.785625000008E-001
      266   0.117808510638        0.617043100153E-002   0.785625000008E-001
      267   0.123698936170        0.617043100153E-002   0.785625000008E-001
      268   0.129589361702        0.617043100153E-002   0.785625000008E-001
      269   0.135479787234        0.617043100153E-002   0.785625000008E-001
      270   0.141370212766        0.617043100153E-002   0.785625000008E-001
      271   0.147260638298        0.617043100153E-002   0.785625000008E-001
      272   0.153151063830        0.617043100153E-002   0.785625000008E-001
      273   0.159041489362        0.617043100153E-002   0.785625000008E-001
      274   0.164931914894        0.617043100153E-002   0.785625000008E-001
      275   0.170822340426        0.617043100153E-002   0.785625000008E-001
      276   0.176712765957        0.617043100153E-002   0.785625000008E-001
      277   0.182603191489        0.617043100153E-002   0.785625000008E-001
      278   0.188493617021        0.617043100153E-002   0.785625000008E-001
      279   0.194384042553        0.617043100153E-002   0.785625000008E-001
      280   0.200274468085        0.617043100153E-002   0.785625000008E-001

   NODE        X                   Y                   Z
      281   0.206164893617        0.617043100153E-002   0.785625000008E-001
      282   0.212055319149        0.617043100153E-002   0.785625000008E-001
      283   0.217945744681        0.617043100153E-002   0.785625000008E-001
      284   0.223836170213        0.617043100153E-002   0.785625000008E-001
      285   0.229726595745        0.617043100153E-002   0.785625000008E-001
